tension,latitud_y_longitud,poder de voltaje
13.2,"-65.2348093126862,-24.2634290635144",MEDIO
13.2,"-65.2348086574104,-24.2634562750721",MEDIO
13.2,"-65.2344817001946,-24.262448518934",MEDIO
13.2,"-65.2356647451621,-24.2621156719019",MEDIO
13.2,"-65.234492598791,-24.2624811014385",MEDIO
13.2,"-65.2665260123628,-24.2492321131453",MEDIO
13.2,"-65.269213492403,-24.2489778132883",MEDIO
13.2,"-65.2705330706135,-24.2488296028613",MEDIO
13.2,"-65.2692133282955,-24.2489539448644",MEDIO
13.2,"-65.2676968111576,-24.249099487027",MEDIO
13.2,"-65.2675601976646,-24.2480062447448",MEDIO
13.2,"-65.267560249359,-24.2479972171036",MEDIO
13.2,"-65.2461957457971,-24.3062770388233",MEDIO
13.2,"-65.2461957991437,-24.3062680112953",MEDIO
13.2,"-66.3565752882503,-22.556926048104",MEDIO
13.2,"-66.3569702022611,-22.5571136698282",MEDIO
13.2,"-66.3574453079107,-22.5573355236756",MEDIO
13.2,"-66.3565751952808,-22.5569152010376",MEDIO
13.2,"-66.3559943768444,-22.5555886018375",MEDIO
13.2,"-66.0561300292179,-22.454185194007",MEDIO
13.2,"-66.0334517004525,-22.4556252159605",MEDIO
13.2,"-65.9950920414559,-22.4736673911246",MEDIO
13.2,"-66.0328445670698,-22.4556234480382",MEDIO
13.2,"-64.4962341641438,-23.5738938733482",MEDIO
33.0,"-64.4959958291685,-23.5739231252926",ALTO
33.0,"-64.495964438976,-23.5739273304797",ALTO
33.0,"-64.4965183247564,-23.5738831302452",ALTO
13.2,"-64.4965181686642,-23.573896941947",MEDIO
13.2,"-64.4997880499515,-23.5741578963063",MEDIO
13.2,"-64.496518579826,-23.5738605605873",MEDIO
13.2,"-64.5057957972294,-23.5801836150544",MEDIO
13.2,"-64.4999058834967,-23.5743059243712",MEDIO
13.2,"-64.4831289951671,-23.5708684655979",MEDIO
13.2,"-64.4891515106713,-23.5741204469919",MEDIO
13.2,"-64.4918146736127,-23.5742885049134",MEDIO
7.6,"-64.4959496979029,-23.573931699517",MEDIO
7.6,"-64.7964394474827,-23.9622827371038",MEDIO
13.2,"-64.7121640562487,-24.2736843125922",MEDIO
13.2,"-64.7171810868045,-24.2733899752566",MEDIO
13.2,"-64.723239436562,-24.2736563600172",MEDIO
13.2,"-64.7126330135685,-24.2732977889024",MEDIO
13.2,"-64.7205802525582,-24.2732593878888",MEDIO
13.2,"-64.7162309090555,-24.2734202818815",MEDIO
13.2,"-64.7162308183468,-24.2734293079568",MEDIO
13.2,"-65.2737665262857,-24.2303876007357",MEDIO
13.2,"-65.2752779018533,-24.2323102651583",MEDIO
13.2,"-65.2751753216141,-24.2328298588657",MEDIO
13.2,"-65.2753101224349,-24.2323132688035",MEDIO
13.2,"-65.2752817337367,-24.2322849357376",MEDIO
13.2,"-65.5919474793974,-22.1060117503006",MEDIO
13.2,"-65.588865745876,-22.1055341005954",MEDIO
33.0,"-65.5893142490084,-22.1035972682389",ALTO
33.0,"-65.5891891460295,-22.1028446536848",ALTO
33.0,"-65.5891097709117,-22.10356257642",ALTO
13.2,"-65.5925375280809,-22.1039664454841",MEDIO
13.2,"-65.5916652264491,-22.103858798518",MEDIO
13.2,"-65.5916555158742,-22.103857528287",MEDIO
13.2,"-64.7971193784633,-23.9651265773558",MEDIO
13.2,"-65.4723968532923,-23.7512008859699",MEDIO
13.2,"-65.472396889672,-23.7511918573875",MEDIO
13.2,"-65.4726449723058,-23.7519743255154",MEDIO
13.2,"-64.6782274658436,-24.1912478625414",MEDIO
13.2,"-64.6775593201488,-24.1914055485547",MEDIO
13.2,"-64.6782232713915,-24.1912627899596",MEDIO
13.2,"-64.7024775623391,-24.2444667816366",MEDIO
13.2,"-64.6963520398311,-24.2293024423644",MEDIO
13.2,"-64.6965391056412,-24.2290687021832",MEDIO
13.2,"-64.7102483475971,-24.2250182517083",MEDIO
