tension,geojson
13.2,"-64.7125655593913,-24.274396803769"
13.2,"-64.7125677881839,-24.2741756652663"
13.2,"-64.7125938004838,-24.2736987003314"
13.2,"-64.7150285669345,-24.2733073096939"
13.2,"-64.7404910995927,-24.270768421202"
13.2,"-64.857081371771,-24.2409282772293"
13.2,"-64.8558731865854,-24.241171959371"
13.2,"-64.8598908734429,-24.2403545848874"
13.2,"-64.8587066902408,-24.240606469655"
13.2,"-64.8595778784197,-24.2390900581534"
13.2,"-64.8593019609336,-24.2378847191251"
13.2,"-64.8625502161062,-24.236869779518"
13.2,"-64.8611529553852,-24.2370311669001"
13.2,"-64.8611573644616,-24.2370633997544"
13.2,"-64.8596930079014,-24.2404017246703"
13.2,"-64.8597245497462,-24.2403974474251"
13.2,"-64.8546869853022,-24.241433851608"
13.2,"-64.8591405829819,-24.2373454875021"
13.2,"-64.8591712258871,-24.2374563261622"
13.2,"-64.8591716088676,-24.2374575811179"
13.2,"-64.6830423585501,-24.5400853326211"
13.2,"-65.2339945955905,-24.2289032544096"
13.2,"-65.2366421133672,-24.2469198230131"
13.2,"-65.2375015319689,-24.2474620326467"
13.2,"-65.2376422888677,-24.2473667601028"
13.2,"-65.2691943663675,-24.2182380246862"
13.2,"-65.2652509638505,-24.2130585818242"
33,"-65.2376359234538,-24.2475463676105"
33,"-65.2371126527437,-24.2367984817808"
33,"-65.2456761161622,-24.262409061903"
13.2,"-65.235384148201,-24.2276975773886"
13.2,"-65.2471055563395,-24.262014434897"
13.2,"-65.2461686570001,-24.2622728319184"
13.2,"-65.2478441573847,-24.2642713044966"
13.2,"-65.2478442105108,-24.2642622769152"
13.2,"-65.134219312971,-23.122497688833"
13.2,"-66.4504478639018,-22.7113643670699"
13.2,"-66.456244951722,-22.697009655461"
13.2,"-66.4501252971347,-22.7086481957283"
13.2,"-65.4434212142438,-24.1864848346765"
13.2,"-65.4434214711268,-24.1865059272256"
13.2,"-65.441205840479,-24.1868989119037"
13.2,"-65.2330202844841,-24.257981653006"
13.2,"-65.2342364474552,-24.2558560905148"
13.2,"-65.2340823753234,-24.2554388699228"
13.2,"-65.2340824293992,-24.2554298423598"
13.2,"-65.2350346833809,-24.2558316978415"
13.2,"-65.2343904665903,-24.2559788860386"
13.2,"-65.2323565496568,-24.2559747514819"
13.2,"-65.2350347506276,-24.255813642546"
13.2,"-65.2341821264395,-24.2615539188298"
13.2,"-65.2335514949633,-24.2596634037271"
13.2,"-65.2335507185158,-24.2596816728378"
13.2,"-65.5945497490673,-22.1079284226643"
13.2,"-65.4694935491429,-23.7474554002767"
13.2,"-65.4674500905755,-23.8438243086235"
13.2,"-65.4663961438932,-23.8595175781071"
13.2,"-65.4654657747098,-23.8533858819659"
13.2,"-65.4657245244862,-23.8531069143503"
13.2,"-65.4654656266538,-23.8532299175855"
13.2,"-65.4649479018926,-23.8467129199295"
13.2,"-65.4638755511631,-23.9250643155255"
13.2,"-65.4552017213899,-23.9456416765657"
13.2,"-65.4515783595191,-23.9529598877268"
13.2,"-65.4519695902892,-23.9823079005045"
13.2,"-65.4516278313383,-23.9828631866217"
33,"-65.4469312191464,-23.9989145031951"
33,"-65.4110299387782,-23.6190446544435"
13.2,"-65.4100586445409,-23.6174087587935"
13.2,"-65.4068382309607,-23.6066463508071"
13.2,"-65.4724555469402,-24.1251295216113"
13.2,"-65.4811430315385,-24.1299575959507"
13.2,"-65.4880163176923,-24.1277795712335"
13.2,"-65.4880165240367,-24.1277524437406"
13.2,"-65.3969818154718,-24.1358578664551"
13.2,"-65.3949706037817,-24.1381776024372"
13.2,"-65.3952239310392,-24.1377465809043"
